cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,evac_decision
-1.866830099,1.86481453,-1.3478668,-0.731814671,2.469956625,-0.910019802,3.676573315,1.483329512,-1.747969752,1.138215944,-2.064597156,0
-1.051843113,-0.433700268,2.237716851,-0.731814671,-0.586462784,-0.910019802,1.175278663,-0.206937127,-2.616622479,1.138215944,-1.279231394,1
1.709652426,-1.588955766,-1.3478668,-0.731814671,-0.586462784,-0.910019802,1.635846732,0.688762135,-1.742254174,-1.290729733,1.432575752,1
0.182275187,-1.802605622,-1.3478668,-0.731814671,2.469956625,-0.910019802,1.226278311,1.378722528,4.790041753,-0.116787679,-2.849962917,1
-2.574411562,-1.065740789,1.87448644,5.498091174,0.76378113,-0.910019802,1.593928005,-0.673373743,-2.168744594,2.42029074,-2.066631616,1
-2.08545122,-0.496399189,-1.3478668,-0.731814671,1.264343848,2.086218765,0.555310449,0.748373001,-1.531191686,2.42029074,-2.849962917,1
1.660059456,-0.496399189,-0.100710409,-0.731814671,0.267000612,3.497070138,0.555310449,1.766830527,0.598574816,2.42029074,-2.849962917,0
-0.913137779,3.461819223,-0.621405979,2.673029298,1.761124366,-0.910019802,0.994500666,1.611420907,-1.554406161,-1.290729733,-2.849962917,0
-1.73348283,-0.997668938,-0.621405979,-0.731814671,-1.58380602,-0.910019802,-1.696662959,1.81913402,-2.616622479,-1.290729733,2.506841986,0
-1.766274661,0.408307136,0.988980822,5.498091174,-1.58380602,0.557183661,-1.060258897,0.82479035,-2.616622479,-1.290729733,-2.467163189,0
1.594881018,-1.520883915,-1.3478668,-0.731814671,-1.58380602,-0.910019802,3.676573315,-0.708365715,-0.481140399,1.138215944,-1.02782907,1
0.196085934,1.744067895,0.262520001,2.109107299,-0.874973762,-0.910019802,1.783796977,-1.693396119,4.790041753,-0.116787679,0.321527959,0
1.676860595,-1.26697496,-1.3478668,-0.731814671,-0.441831647,1.968035034,3.486704343,0.732257398,-1.108355286,1.138215944,-0.373860712,1
-2.977864589,-1.26697496,1.87448644,0.835315632,-1.58380602,-0.910019802,-1.25012787,0.538528568,-1.312800438,2.42029074,1.505390834,0
1.693256511,0.910793202,-0.984636389,2.673029298,2.469956625,-0.910019802,-0.071551551,0.386384751,0.390689472,-1.290729733,0.662907374,0
