cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,evac_decision
1.990700245,-0.982425809,-1.707967219,-2.808709821,1.925133737,-1.813354043,0
1.391675553,-1.020914557,-0.858921314,0.695762106,1.038459541,-0.728745202,0
1.969503074,0.754807229,-2.316898223,3.302123646,-0.477547385,-1.327247079,0
-2.60521689,1.273153247,-2.316898223,-2.808709821,-2.864994958,0.366301087,1
1.005739903,1.592096937,-1.555343104,-2.808709821,-2.864994958,-3.4857645,0
0.88752209,-1.020914557,-0.226117053,-0.82234518,-2.864994958,0.004993253,1
-0.383866077,-3.37362019,-2.316898223,0.402606109,4.605286547,-0.524132951,1
0.980400423,-0.383027177,0.343893776,-2.808709821,-0.68064215,0.608713854,1
1.470664163,-0.802514487,-0.675242876,3.318004512,4.605286547,-1.063754132,0
-2.034093432,0.662638795,0.784110934,0.034407616,4.605286547,0.145901258,0
-3.035193973,1.592096937,-0.846082796,0.608471904,4.605286547,-0.539427122,0
0.756634687,-3.524395426,0.629932875,7.97553528,-0.472742186,-0.853865628,1
-1.96465799,-4.915311847,4.45548994,-0.557213659,-1.151594128,0.08225454,1
-1.2461741,1.592096937,-2.045728998,-2.808709821,-1.563843459,-1.337264998,0
0.896782476,-1.020914557,-2.18131361,0.651985488,-0.502947429,-2.201893539,0
-1.07567068,1.592096937,-0.981667409,-0.49810687,-0.915564672,1.153627636,0
0.500558021,-1.020914557,-1.910144385,0.034303519,0.608964378,-0.597006903,0
0.668735027,-0.344538429,4.583156826,-1.056473858,-1.563843459,0.949015386,0
1.553184947,1.311641996,3.450103178,-0.320561858,-2.200577274,1.092590281,1
-2.213623487,-0.701970867,-2.316898223,-0.747541091,-0.692187122,0.143291896,0
1.482463039,0.43586354,1.093609637,0.016266661,-0.906831275,1.87724994,0
-1.455376336,1.592096937,-1.16562877,2.427471361,4.605286547,1.619049594,1
-4.123407556,0.487793136,3.257595641,0.65196086,-0.703230619,0.617941088,0
2.097222288,-0.344538429,1.093609637,-1.056473858,-1.339804597,-0.269332652,0
-1.107434772,0.701127543,3.386228105,0.35882949,4.605286547,-0.590446559,0
2.328105963,0.155408598,1.055280159,-0.498002774,4.605286547,-0.114824463,0
1.348353159,-1.020914557,-2.316898223,-0.217941486,4.605286547,-1.273658985,0
-0.427418031,-3.197076551,0.750647613,-0.567393487,-1.186393297,0.379901272,1
0.363250523,0.474352288,-1.707967219,-0.22822541,1.925133737,-1.399330347,0
0.786515172,1.630585685,-0.720167814,-0.524247033,-2.200209362,-2.94881021,0
0.684451997,0.992698306,-0.981667409,-1.146287183,-2.433717444,2.024323114,0
1.034597074,-1.835883932,4.99782839,1.192419713,-0.280521393,0.143291896,1
-2.448181985,1.949529375,-1.843551832,0.65196086,-0.712915529,0.602095981,0
2.042764717,0.43586354,-2.316898223,0.633765064,-0.675386912,-4.084266377,0
2.328105963,0.11691985,-0.981667409,0.664847376,1.255542941,-3.4857645,0
-1.539237252,1.630585685,4.447572213,-0.557397224,-0.920154181,0.744403135,0
-3.516309363,1.911040627,0.671022678,1.547180994,0.387369179,-0.584988087,0
-1.870629339,0.382183854,2.980607606,-2.808709821,-1.109316164,-2.815730291,0
-1.599041735,-0.545576309,-0.946412101,1.228068399,0.176488115,-3.14941395,0
-1.525902677,-2.240245482,0.357764391,0.68287559,-0.451931652,1.94617291,0
-1.903221688,1.592096937,2.668955353,-1.069360374,-1.976538412,3.036000475,1
-3.621794964,-0.916449595,-1.572382607,0.023940126,-0.891358961,-3.741906419,0
1.476899628,0.474352288,-2.18131361,-0.48240957,-2.640956097,1.156236998,0
1.694110309,-1.911883951,2.976756787,-2.515474355,-1.759455012,1.298726372,1
-1.254729234,0.992698306,4.99782839,0.134951465,4.605286547,2.422163722,1
2.408449744,1.592096937,0.072724551,-2.808709821,-2.864994958,3.036000475,1
1.473055263,0.597216241,-1.252836634,-2.808709821,4.605286547,2.626775973,0
1.891663564,1.592096937,-1.117252021,0.682771493,-0.036952873,-3.086557917,0
0.034743172,0.954209558,4.447572213,-0.760531703,0.175458891,2.422163722,1
1.13943755,1.311641996,-0.545663026,3.31240757,4.605286547,-4.493490879,0
2.628567803,-0.20202384,-1.572382607,-0.557397224,-0.932282755,-0.064720401,0
-1.044961649,1.592096937,-1.690927717,0.413177695,4.605286547,-4.493490879,0
-1.88501694,1.949529375,1.684324835,0.343419851,-0.896982111,-2.280043743,1
2.614462535,-1.631429009,4.45548994,-2.808709821,-2.864994958,1.49653853,0
-1.140972103,-2.059242144,2.940124578,0.608576,-1.585233178,0.685596316,0
-1.0603057,-3.769102255,1.645995357,-0.600806712,-1.795201279,-2.328355585,0
0.697033711,-1.121458177,2.564802704,1.226129244,-1.171876913,0.741793773,1
-1.149214534,1.592096937,4.99782839,7.97553528,-1.551632759,1.355630525,1
2.464079788,0.43586354,-0.855752426,1.213059163,-0.047468621,1.613040186,0
0.540533313,1.630585685,4.311987601,-0.760531703,-0.908527083,0.473024573,1
0.701471136,-1.020914557,-0.723336701,0.947527239,-0.221680766,-1.412197376,0
-1.235922618,1.592096937,-1.843551832,1.222942685,-0.692187122,-3.826066032,0
0.367002617,-0.383027177,-0.846082796,-2.808709821,-2.864994958,-0.203809728,0
-3.472854636,0.474352288,4.311987601,-1.113057523,-0.68523166,2.286474441,1
1.48602862,1.311641996,-0.720167814,-0.626971502,-2.006665944,-0.599673794,0
2.40368348,-0.663482119,2.226663285,7.97553528,-2.864994958,3.036000475,1
-2.10441755,0.155408598,-1.843551832,2.09547225,-0.256320098,-1.137969704,0
1.018305472,-0.701970867,-0.991337038,-1.671895738,-1.099181215,2.286474441,0
1.383383213,-0.344538429,-0.46203097,1.007113899,-0.050198069,-0.596273748,0
-0.22690973,1.592096937,-2.316898223,-0.451886598,-1.554660023,0.817277087,0
1.671633257,0.474352288,-2.316898223,2.430178049,4.605286547,-2.61111804,0
1.699914028,0.954209558,0.195470646,1.269826394,-0.700842808,-1.188948436,0
-1.962441141,0.11691985,-1.252836634,0.695762106,-0.262691959,-4.493490879,0
-2.36143725,-0.941612033,-1.117252021,-1.71811601,-2.421804561,0.161688836,0
1.834683028,-0.663482119,-1.707967219,0.05000082,-1.127608523,1.615098613,0
0.038892416,-0.344538429,-0.584583201,-1.954296583,4.605286547,2.028274096,0
-3.715889481,0.43586354,0.128684228,-2.2038349,-2.01584938,2.503713973,0
-1.114173934,-3.477531492,-2.18131361,-1.336639242,-1.540671388,-1.19416716,0
1.980212836,-2.020753396,-1.301213382,7.97553528,4.605286547,-1.941083831,0
1.393991146,-1.020914557,-2.18131361,-2.808709821,-1.563843459,-0.728745202,0
-0.201752701,0.155408598,2.380841343,0.899080151,-0.260909608,1.493929168,0
-0.233960914,-2.692171381,2.213824767,0.400187082,4.605286547,2.626775973,1
