cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,evac_decision
1.705229251,0.597216241,-0.450769822,2.123277097,-1.252836634,-2.808709821,4.605286547,2.626775973,0
1.652076939,1.592096937,-0.450769822,-0.948829512,-1.117252021,0.682771493,-0.036952873,-3.086557917,0
-0.282665642,0.954209558,0.15730589,-0.948829512,4.447572213,-0.760531703,0.175458891,2.422163722,1
1.736857715,1.311641996,0.609756093,2.123277097,-0.545663026,3.31240757,4.605286547,-4.493490879,0
2.148321147,-0.20202384,-1.499953258,-0.948829512,-1.572382607,-0.557397224,-0.932282755,-0.064720401,0
-1.393894607,1.592096937,-0.450769822,-0.948829512,-1.690927717,0.413177695,4.605286547,-4.493490879,0
-1.898504009,1.949529375,1.206489326,-0.948829512,1.684324835,0.343419851,-0.896982111,-2.280043743,1
2.132415417,-1.631429009,-1.499953258,-0.948829512,4.45548994,-2.808709821,-2.864994958,1.49653853,0
-1.431393428,-2.059242144,-1.499953258,2.123277097,2.940124578,0.608576,-1.585233178,0.685596316,0
-1.345306637,-3.769102255,-1.499953258,2.123277097,1.645995357,-0.600806712,-1.795201279,-2.328355585,0
1.115727186,-1.121458177,0.760956875,-0.948829512,2.564802704,1.226129244,-1.171876913,0.741793773,1
-0.577708922,1.592096937,2.267015241,0.537185986,4.99782839,7.97553528,-1.551632759,1.355630525,1
1.989271535,0.43586354,-1.499953258,-0.948829512,-0.855752426,1.213059163,-0.047468621,1.613040186,0
1.153330212,1.630585685,0.609756093,2.123277097,4.311987601,-0.760531703,-0.908527083,0.473024573,1
0.724172931,-1.020914557,-0.44751089,2.123277097,-0.723336701,0.947527239,-0.221680766,-1.412197376,0
-1.150323925,1.592096937,0.609756093,-0.948829512,-1.843551832,1.222942685,-0.692187122,-3.826066032,0
0.163896504,-0.383027177,0.15730589,-0.948829512,-0.846082796,-2.808709821,-2.864994958,-0.203809728,0
-3.275081438,0.474352288,0.609756093,2.123277097,4.311987601,-1.113057523,-0.68523166,2.286474441,1
0.890371609,1.311641996,-1.499953258,-0.948829512,-0.720167814,-0.626971502,-2.006665944,-0.599673794,0
2.309870812,-0.663482119,0.15730589,-0.948829512,2.226663285,7.97553528,-2.864994958,3.036000475,1
